date,store_id,item_id,Moving Average,Weighted Snaive
2025-01-01,STORE_01,ITEM_001,37.666666666666664,34.08042895442359
2025-01-02,STORE_01,ITEM_001,37.666666666666664,29.277033065236814
2025-01-03,STORE_01,ITEM_001,37.666666666666664,30.277033065236818
2025-01-04,STORE_01,ITEM_001,37.666666666666664,30.317247542448612
2025-01-05,STORE_01,ITEM_001,37.666666666666664,28.44950848972297
2025-01-06,STORE_01,ITEM_001,37.666666666666664,36.12421805183199
2025-01-07,STORE_01,ITEM_001,37.666666666666664,32.771224307417334
2025-01-08,STORE_01,ITEM_001,37.666666666666664,30.795352993744412
2025-01-09,STORE_01,ITEM_001,37.666666666666664,30.943699731903486
2025-01-10,STORE_01,ITEM_001,37.666666666666664,28.413762287756924
2025-01-11,STORE_01,ITEM_001,37.666666666666664,23.903485254691688
2025-01-12,STORE_01,ITEM_001,37.666666666666664,34.132260947274354
2025-01-13,STORE_01,ITEM_001,37.666666666666664,33.90348525469169
2025-01-14,STORE_01,ITEM_001,37.666666666666664,41.89544235924933
2025-01-15,STORE_01,ITEM_001,37.666666666666664,32.25290437890974
2025-01-16,STORE_01,ITEM_001,37.666666666666664,39.51385165326184
2025-01-17,STORE_01,ITEM_001,37.666666666666664,32.64253798033959
2025-01-18,STORE_01,ITEM_001,37.666666666666664,33.088471849865954
2025-01-19,STORE_01,ITEM_001,37.666666666666664,32.93565683646112
2025-01-20,STORE_01,ITEM_001,37.666666666666664,39.87131367292225
2025-01-21,STORE_01,ITEM_001,37.666666666666664,34.31724754244862
2025-01-22,STORE_01,ITEM_001,37.666666666666664,46.6988382484361
2025-01-23,STORE_01,ITEM_001,37.666666666666664,34.32529043789098
2025-01-24,STORE_01,ITEM_001,37.666666666666664,35.60232350312779
2025-01-25,STORE_01,ITEM_001,37.666666666666664,34.911528150134046
2025-01-26,STORE_01,ITEM_001,37.666666666666664,46.25290437890974
2025-01-27,STORE_01,ITEM_001,37.666666666666664,43.546023235031285
2025-01-28,STORE_01,ITEM_001,37.666666666666664,46.41376228775692
2025-01-29,STORE_01,ITEM_001,37.666666666666664,35.7792672028597
2025-01-30,STORE_01,ITEM_001,37.666666666666664,37.64253798033959
2025-01-31,STORE_01,ITEM_001,37.666666666666664,34.60232350312779
